Date,channel_id,daily_avg,daily_min,daily_max
2020-01-01,458,11.754316,9.403187,13.555916
2020-01-02,458,11.235453,8.811033,13.4052105
2020-01-03,458,11.037548,9.073025,13.24184
2020-01-04,458,11.17175,9.235371,13.687506
2020-01-05,458,11.002308,8.6392765,13.511099
2020-01-06,458,10.983934,8.284982,13.7526655
2020-01-07,458,11.271117,8.359905,14.125842
2020-01-08,458,11.556638,8.313282,14.554052
2020-01-09,458,11.804327,8.159026,14.939713
2020-01-10,458,11.696622,7.9901915,14.833664
2020-01-11,458,11.788965,8.109789,14.900776
2020-01-12,458,11.732973,8.092609,14.879712
2020-01-13,458,11.72479,8.173887,14.597952
2020-01-14,458,11.655353,8.369675,14.114191
2020-01-15,458,11.428473,8.234648,13.570906
2020-01-16,458,11.806712,8.438019,14.234421
2020-01-17,458,11.32436,9.107884,14.155877
2020-01-18,458,11.052284,8.671646,14.034075
2020-01-19,458,11.153714,8.439407,14.188124
2020-01-20,458,11.540719,8.590238,14.625329
2020-01-21,458,11.837499,8.688294,14.907162
2020-01-22,458,11.748241,8.318599,14.783033
2020-01-23,458,11.645443,8.2206,14.6834135
2020-01-24,458,11.768822,8.351931,14.778118
2020-01-25,458,11.812778,8.4499655,14.660118
2020-01-26,458,11.838731,8.544923,14.497953
2020-01-27,458,11.593083,8.394249,14.036721
2020-01-28,458,11.449692,8.447183,13.629772
2020-01-29,458,11.386612,8.506695,13.303322
2020-01-30,458,11.236037,8.695629,13.372216
2020-01-31,458,11.131074,8.945262,13.298345
2020-02-01,458,11.118328,9.380199,13.148076
2020-02-02,458,11.496307,9.565733,13.85463
2020-02-03,458,11.268298,8.662607,13.691153
2020-02-04,458,11.174494,8.235969,13.701655
2020-02-05,458,11.45229,8.282035,14.193975
2020-02-06,458,11.599198,8.259516,14.541035
2020-02-07,458,11.794126,8.322407,14.904273
2020-02-08,458,11.893372,8.35095,15.156345
2020-02-09,458,11.598985,7.893833,14.578718
2020-02-10,458,11.607031,8.235111,14.822132
2020-02-11,458,11.623579,8.4063225,14.44723
2020-02-12,458,11.599298,8.455352,14.003231
2020-02-13,458,11.598562,8.67892,14.111731
2020-02-14,458,11.677621,9.330218,14.214556
2020-02-15,458,11.447956,8.948235,14.317179
2020-02-16,458,11.447073,8.755081,14.152809
2020-02-17,458,11.402549,8.413122,14.138699
2020-02-18,458,11.438798,8.332468,14.146903
2020-02-19,458,11.509557,8.291128,14.298513
2020-02-20,458,11.524679,8.285139,14.324612
2020-02-21,458,11.571253,8.423337,14.371305
2020-02-22,458,11.794477,8.746296,14.63986
2020-02-23,458,11.567374,8.351794,14.098985
2020-02-24,458,11.16959,8.28959,13.658632
2020-02-25,458,11.08106,8.37846,13.365944
2020-02-26,458,11.087468,8.6937685,13.1044235
2020-02-27,458,11.133247,9.060269,13.1957855
